source_dataset,source_record_id,domain,category,generated_user_text,generated_context,generated_goal,generated_entities,generated_missing_information,generated_execution_plan,generated_tool_calls,generated_expected_response,generated_success_criteria,generation_model,generation_stage
BANKING77,BANKING77_005704,finance,finance/payments,I can't see my refund in my history.,,User wants to query account balance or available funds. based on: 'I can't see my refund in my history.'.,{},[],"[""Route check_balance via dispatch_actions.""]","[{""id"": ""call_a97713b0"", ""type"": ""function"", ""function"": {""name"": ""dispatch_actions"", ""arguments"": ""{\""actions\"": [{\""action_id\"": \""a1\"", \""intent_name\"": \""check_balance\"", \""depends_on\"": [], \""entities\"": {}}]}""}}]",I have processed your request to check balance.,"[""Successfully processed check_balance.""]",qwen/qwen3.8-27b:free,schema_completion
BANKING77,BANKING77_005814,finance,finance/payments,Are the funds I requested from a merchant a few days ago in my account? I do not see them.,,User wants to query account balance or available funds. based on: 'Are the funds I requested from a merchant a few days ago in '.,{},[],"[""Route check_balance via dispatch_actions.""]","[{""id"": ""call_0bcf605d"", ""type"": ""function"", ""function"": {""name"": ""dispatch_actions"", ""arguments"": ""{\""actions\"": [{\""action_id\"": \""a1\"", \""intent_name\"": \""check_balance\"", \""depends_on\"": [], \""entities\"": {}}]}""}}]",I have processed your request to check balance.,"[""Successfully processed check_balance.""]",qwen/qwen3.8-27b:free,schema_completion
BANKING77,BANKING77_005827,finance,finance/payments,There is not a refund in my statement.,,User wants to query account balance or available funds. based on: 'There is not a refund in my statement.'.,{},[],"[""Route check_balance via dispatch_actions.""]","[{""id"": ""call_35beceaa"", ""type"": ""function"", ""function"": {""name"": ""dispatch_actions"", ""arguments"": ""{\""actions\"": [{\""action_id\"": \""a1\"", \""intent_name\"": \""check_balance\"", \""depends_on\"": [], \""entities\"": {}}]}""}}]",I have processed your request to check balance.,"[""Successfully processed check_balance.""]",qwen/qwen3.8-27b:free,schema_completion
BANKING77,BANKING77_005692,finance,finance/payments,Why is my refund not visible on my statement?,,User wants to query account balance or available funds. based on: 'Why is my refund not visible on my statement?'.,{},[],"[""Route check_balance via dispatch_actions.""]","[{""id"": ""call_17c7fff5"", ""type"": ""function"", ""function"": {""name"": ""dispatch_actions"", ""arguments"": ""{\""actions\"": [{\""action_id\"": \""a1\"", \""intent_name\"": \""check_balance\"", \""depends_on\"": [], \""entities\"": {}}]}""}}]",I have processed your request to check balance.,"[""Successfully processed check_balance.""]",qwen/qwen3.8-27b:free,schema_completion
BANKING77,BANKING77_005770,finance,finance/payments,I am noticing that a refund of a large purchase still has not been credited to my account. I contacted the merchant a few days ago and he assured me that he would submit it right away. Is there a status update?,,User wants to query account balance or available funds. based on: 'I am noticing that a refund of a large purchase still has no'.,{},[],"[""Route check_balance via dispatch_actions.""]","[{""id"": ""call_63337df2"", ""type"": ""function"", ""function"": {""name"": ""dispatch_actions"", ""arguments"": ""{\""actions\"": [{\""action_id\"": \""a1\"", \""intent_name\"": \""check_balance\"", \""depends_on\"": [], \""entities\"": {}}]}""}}]",I have processed your request to check balance.,"[""Successfully processed check_balance.""]",qwen/qwen3.8-27b:free,schema_completion
BANKING77,BANKING77_005794,finance,finance/payments,My statement does not reflect that a refund has been issued,,User wants to query account balance or available funds. based on: 'My statement does not reflect that a refund has been issued'.,{},[],"[""Route check_balance via dispatch_actions.""]","[{""id"": ""call_d33dea84"", ""type"": ""function"", ""function"": {""name"": ""dispatch_actions"", ""arguments"": ""{\""actions\"": [{\""action_id\"": \""a1\"", \""intent_name\"": \""check_balance\"", \""depends_on\"": [], \""entities\"": {}}]}""}}]",I have processed your request to check balance.,"[""Successfully processed check_balance.""]",qwen/qwen3.8-27b:free,schema_completion
BANKING77,BANKING77_005674,finance,finance/payments,"I don't see my refund money yet in my account. I asked the merchant a while ago for a refund, so I don't know what's taking so long.  Can you look into it and see if the money is there, just not in my account yet?",,User wants to query account balance or available funds. based on: 'I don't see my refund money yet in my account. I asked the m'.,{},[],"[""Route check_balance via dispatch_actions.""]","[{""id"": ""call_3ac227e4"", ""type"": ""function"", ""function"": {""name"": ""dispatch_actions"", ""arguments"": ""{\""actions\"": [{\""action_id\"": \""a1\"", \""intent_name\"": \""check_balance\"", \""depends_on\"": [], \""entities\"": {}}]}""}}]",I have processed your request to check balance.,"[""Successfully processed check_balance.""]",qwen/qwen3.8-27b:free,schema_completion
BANKING77,BANKING77_005691,finance,finance/payments,I keep checking my statements but nothing shows up. I requested a refund a long time ago but seems it's not reaching my account for some reason. Would you please help me get the money back from the seller.,,User wants to query account balance or available funds. based on: 'I keep checking my statements but nothing shows up. I reques'.,{},[],"[""Route check_balance via dispatch_actions.""]","[{""id"": ""call_8b513fba"", ""type"": ""function"", ""function"": {""name"": ""dispatch_actions"", ""arguments"": ""{\""actions\"": [{\""action_id\"": \""a1\"", \""intent_name\"": \""check_balance\"", \""depends_on\"": [], \""entities\"": {}}]}""}}]",I have processed your request to check balance.,"[""Successfully processed check_balance.""]",qwen/qwen3.8-27b:free,schema_completion
BANKING77,BANKING77_005726,finance,finance/payments,When do I see my recent refund in my statement,,User wants to query account balance or available funds. based on: 'When do I see my recent refund in my statement'.,{},[],"[""Route check_balance via dispatch_actions.""]","[{""id"": ""call_2632296f"", ""type"": ""function"", ""function"": {""name"": ""dispatch_actions"", ""arguments"": ""{\""actions\"": [{\""action_id\"": \""a1\"", \""intent_name\"": \""check_balance\"", \""depends_on\"": [], \""entities\"": {}}]}""}}]",I have processed your request to check balance.,"[""Successfully processed check_balance.""]",qwen/qwen3.8-27b:free,schema_completion
BANKING77,BANKING77_005796,finance,finance/payments,When will I be able to see the refund,,User wants to query account balance or available funds. based on: 'When will I be able to see the refund'.,{},[],"[""Route check_balance via dispatch_actions.""]","[{""id"": ""call_636376a8"", ""type"": ""function"", ""function"": {""name"": ""dispatch_actions"", ""arguments"": ""{\""actions\"": [{\""action_id\"": \""a1\"", \""intent_name\"": \""check_balance\"", \""depends_on\"": [], \""entities\"": {}}]}""}}]",I have processed your request to check balance.,"[""Successfully processed check_balance.""]",qwen/qwen3.8-27b:free,schema_completion
BANKING77,BANKING77_005712,finance,finance/payments,"Hi, Last week I have contacted the seller for a refund as directed by you, but i have not received the money yet. Please look into this issue with seller and help me in getting the refund.",,"User wants to query account balance or available funds. based on: 'Hi, Last week I have contacted the seller for a refund as di'.",{},[],"[""Route check_balance via dispatch_actions.""]","[{""id"": ""call_6b9a4a56"", ""type"": ""function"", ""function"": {""name"": ""dispatch_actions"", ""arguments"": ""{\""actions\"": [{\""action_id\"": \""a1\"", \""intent_name\"": \""check_balance\"", \""depends_on\"": [], \""entities\"": {}}]}""}}]",I have processed your request to check balance.,"[""Successfully processed check_balance.""]",qwen/qwen3.8-27b:free,schema_completion
BANKING77,BANKING77_005746,finance,finance/payments,Please update me on whether you have received the funds for the refund of the large purchase I made recently. I have requested this from the merchant days ago but still haven't got anything.,,User wants to query account balance or available funds. based on: 'Please update me on whether you have received the funds for '.,{},[],"[""Route check_balance via dispatch_actions.""]","[{""id"": ""call_2292ab6c"", ""type"": ""function"", ""function"": {""name"": ""dispatch_actions"", ""arguments"": ""{\""actions\"": [{\""action_id\"": \""a1\"", \""intent_name\"": \""check_balance\"", \""depends_on\"": [], \""entities\"": {}}]}""}}]",I have processed your request to check balance.,"[""Successfully processed check_balance.""]",qwen/qwen3.8-27b:free,schema_completion
BANKING77,BANKING77_005805,finance,finance/payments,"As advised by you, i requested seller to refund my money. A week has passed but i haven't got any update from seller. Please track the refund with the seller.",,"User wants to query account balance or available funds. based on: 'As advised by you, i requested seller to refund my money. A '.",{},[],"[""Route check_balance via dispatch_actions.""]","[{""id"": ""call_20ddb8d0"", ""type"": ""function"", ""function"": {""name"": ""dispatch_actions"", ""arguments"": ""{\""actions\"": [{\""action_id\"": \""a1\"", \""intent_name\"": \""check_balance\"", \""depends_on\"": [], \""entities\"": {}}]}""}}]",I have processed your request to check balance.,"[""Successfully processed check_balance.""]",qwen/qwen3.8-27b:free,schema_completion
BANKING77,BANKING77_005768,finance,finance/payments,I was supposed to get a refund but I do not see it.,,User wants to query account balance or available funds. based on: 'I was supposed to get a refund but I do not see it.'.,{},[],"[""Route check_balance via dispatch_actions.""]","[{""id"": ""call_a17c53d4"", ""type"": ""function"", ""function"": {""name"": ""dispatch_actions"", ""arguments"": ""{\""actions\"": [{\""action_id\"": \""a1\"", \""intent_name\"": \""check_balance\"", \""depends_on\"": [], \""entities\"": {}}]}""}}]",I have processed your request to check balance.,"[""Successfully processed check_balance.""]",qwen/qwen3.8-27b:free,schema_completion
BANKING77,BANKING77_005676,finance,finance/payments,Please help me.  I am still waiting on a refund.,,User wants to query account balance or available funds. based on: 'Please help me.  I am still waiting on a refund.'.,{},[],"[""Route check_balance via dispatch_actions.""]","[{""id"": ""call_464afa5d"", ""type"": ""function"", ""function"": {""name"": ""dispatch_actions"", ""arguments"": ""{\""actions\"": [{\""action_id\"": \""a1\"", \""intent_name\"": \""check_balance\"", \""depends_on\"": [], \""entities\"": {}}]}""}}]",I have processed your request to check balance.,"[""Successfully processed check_balance.""]",qwen/qwen3.8-27b:free,schema_completion
BANKING77,BANKING77_005693,finance,finance/payments,The refund doesn't show in my account,,User wants to query account balance or available funds. based on: 'The refund doesn't show in my account'.,{},[],"[""Route check_balance via dispatch_actions.""]","[{""id"": ""call_9fadb1c3"", ""type"": ""function"", ""function"": {""name"": ""dispatch_actions"", ""arguments"": ""{\""actions\"": [{\""action_id\"": \""a1\"", \""intent_name\"": \""check_balance\"", \""depends_on\"": [], \""entities\"": {}}]}""}}]",I have processed your request to check balance.,"[""Successfully processed check_balance.""]",qwen/qwen3.8-27b:free,schema_completion
BANKING77,BANKING77_005750,finance,finance/payments,Can you tell me why a refund I'm owed is not showing on my statement?,,User wants to query account balance or available funds. based on: 'Can you tell me why a refund I'm owed is not showing on my s'.,{},[],"[""Route check_balance via dispatch_actions.""]","[{""id"": ""call_d39de90d"", ""type"": ""function"", ""function"": {""name"": ""dispatch_actions"", ""arguments"": ""{\""actions\"": [{\""action_id\"": \""a1\"", \""intent_name\"": \""check_balance\"", \""depends_on\"": [], \""entities\"": {}}]}""}}]",I have processed your request to check balance.,"[""Successfully processed check_balance.""]",qwen/qwen3.8-27b:free,schema_completion
BANKING77,BANKING77_005797,finance,finance/payments,My refund isn't showing up on my statement.,,User wants to query account balance or available funds. based on: 'My refund isn't showing up on my statement.'.,{},[],"[""Route check_balance via dispatch_actions.""]","[{""id"": ""call_79679837"", ""type"": ""function"", ""function"": {""name"": ""dispatch_actions"", ""arguments"": ""{\""actions\"": [{\""action_id\"": \""a1\"", \""intent_name\"": \""check_balance\"", \""depends_on\"": [], \""entities\"": {}}]}""}}]",I have processed your request to check balance.,"[""Successfully processed check_balance.""]",qwen/qwen3.8-27b:free,schema_completion
BANKING77,BANKING77_005741,finance,finance/payments,My statement has not shown my refund.,,User wants to query account balance or available funds. based on: 'My statement has not shown my refund.'.,{},[],"[""Route check_balance via dispatch_actions.""]","[{""id"": ""call_c3f7ae09"", ""type"": ""function"", ""function"": {""name"": ""dispatch_actions"", ""arguments"": ""{\""actions\"": [{\""action_id\"": \""a1\"", \""intent_name\"": \""check_balance\"", \""depends_on\"": [], \""entities\"": {}}]}""}}]",I have processed your request to check balance.,"[""Successfully processed check_balance.""]",qwen/qwen3.8-27b:free,schema_completion
BANKING77,BANKING77_005832,finance,finance/payments,"I made a big purchase that I regretted and cancelled, the merchant said that my refund was submitted. Can you confirm to me that all of my money was truly returned to me?",,"User wants to query account balance or available funds. based on: 'I made a big purchase that I regretted and cancelled, the me'.",{},[],"[""Route check_balance via dispatch_actions.""]","[{""id"": ""call_a209b5e2"", ""type"": ""function"", ""function"": {""name"": ""dispatch_actions"", ""arguments"": ""{\""actions\"": [{\""action_id\"": \""a1\"", \""intent_name\"": \""check_balance\"", \""depends_on\"": [], \""entities\"": {}}]}""}}]",I have processed your request to check balance.,"[""Successfully processed check_balance.""]",qwen/qwen3.8-27b:free,schema_completion
BANKING77,BANKING77_005831,finance,finance/payments,When will I be able to see my refund?,,User wants to query account balance or available funds. based on: 'When will I be able to see my refund?'.,{},[],"[""Route check_balance via dispatch_actions.""]","[{""id"": ""call_04575250"", ""type"": ""function"", ""function"": {""name"": ""dispatch_actions"", ""arguments"": ""{\""actions\"": [{\""action_id\"": \""a1\"", \""intent_name\"": \""check_balance\"", \""depends_on\"": [], \""entities\"": {}}]}""}}]",I have processed your request to check balance.,"[""Successfully processed check_balance.""]",qwen/qwen3.8-27b:free,schema_completion
BANKING77,BANKING77_005816,finance,finance/payments,My refund for a purchase hasn't  cone through yet.,,User wants to query account balance or available funds. based on: 'My refund for a purchase hasn't  cone through yet.'.,{},[],"[""Route check_balance via dispatch_actions.""]","[{""id"": ""call_e32e2963"", ""type"": ""function"", ""function"": {""name"": ""dispatch_actions"", ""arguments"": ""{\""actions\"": [{\""action_id\"": \""a1\"", \""intent_name\"": \""check_balance\"", \""depends_on\"": [], \""entities\"": {}}]}""}}]",I have processed your request to check balance.,"[""Successfully processed check_balance.""]",qwen/qwen3.8-27b:free,schema_completion
BANKING77,BANKING77_005785,finance,finance/payments,I contacted the seller for a direct refund last week but he still hasn't give me my money. What should I do?,,User wants to query account balance or available funds. based on: 'I contacted the seller for a direct refund last week but he '.,{},[],"[""Route check_balance via dispatch_actions.""]","[{""id"": ""call_5150b25d"", ""type"": ""function"", ""function"": {""name"": ""dispatch_actions"", ""arguments"": ""{\""actions\"": [{\""action_id\"": \""a1\"", \""intent_name\"": \""check_balance\"", \""depends_on\"": [], \""entities\"": {}}]}""}}]",I have processed your request to check balance.,"[""Successfully processed check_balance.""]",qwen/qwen3.8-27b:free,schema_completion
BANKING77,BANKING77_005677,finance,finance/payments,I requested a refund but am unable to see it in my account. Why is that?,,User wants to query account balance or available funds. based on: 'I requested a refund but am unable to see it in my account. '.,{},[],"[""Route check_balance via dispatch_actions.""]","[{""id"": ""call_4b758ead"", ""type"": ""function"", ""function"": {""name"": ""dispatch_actions"", ""arguments"": ""{\""actions\"": [{\""action_id\"": \""a1\"", \""intent_name\"": \""check_balance\"", \""depends_on\"": [], \""entities\"": {}}]}""}}]",I have processed your request to check balance.,"[""Successfully processed check_balance.""]",qwen/qwen3.8-27b:free,schema_completion
BANKING77,BANKING77_005775,finance,finance/payments,"I keep checking to see if I've received a refund that I requested from a seller, but I'm not seeing the refund. I need you to help me get the refund.",,User wants to query account balance or available funds. based on: 'I keep checking to see if I've received a refund that I requ'.,{},[],"[""Route check_balance via dispatch_actions.""]","[{""id"": ""call_9650c359"", ""type"": ""function"", ""function"": {""name"": ""dispatch_actions"", ""arguments"": ""{\""actions\"": [{\""action_id\"": \""a1\"", \""intent_name\"": \""check_balance\"", \""depends_on\"": [], \""entities\"": {}}]}""}}]",I have processed your request to check balance.,"[""Successfully processed check_balance.""]",qwen/qwen3.8-27b:free,schema_completion
BANKING77,BANKING77_005728,finance,finance/payments,"Hello. I bought an item a while ago, and have since requested a refund.  However, upon checking my online statements, it seems that I haven't been issued a refund yet.  How can this be remedied?",,"User wants to query account balance or available funds. based on: 'Hello. I bought an item a while ago, and have since requeste'.",{},[],"[""Route check_balance via dispatch_actions.""]","[{""id"": ""call_edfda278"", ""type"": ""function"", ""function"": {""name"": ""dispatch_actions"", ""arguments"": ""{\""actions\"": [{\""action_id\"": \""a1\"", \""intent_name\"": \""check_balance\"", \""depends_on\"": [], \""entities\"": {}}]}""}}]",I have processed your request to check balance.,"[""Successfully processed check_balance.""]",qwen/qwen3.8-27b:free,schema_completion
BANKING77,BANKING77_005706,finance,finance/payments,How can I check if I have received a refund if it is not yet on my statement?,,User wants to query account balance or available funds. based on: 'How can I check if I have received a refund if it is not yet'.,{},[],"[""Route check_balance via dispatch_actions.""]","[{""id"": ""call_ac39dfc5"", ""type"": ""function"", ""function"": {""name"": ""dispatch_actions"", ""arguments"": ""{\""actions\"": [{\""action_id\"": \""a1\"", \""intent_name\"": \""check_balance\"", \""depends_on\"": [], \""entities\"": {}}]}""}}]",I have processed your request to check balance.,"[""Successfully processed check_balance.""]",qwen/qwen3.8-27b:free,schema_completion
BANKING77,BANKING77_005749,finance,finance/payments,What is taking so long with my refund?,,User wants to query account balance or available funds. based on: 'What is taking so long with my refund?'.,{},[],"[""Route check_balance via dispatch_actions.""]","[{""id"": ""call_9a26b3cd"", ""type"": ""function"", ""function"": {""name"": ""dispatch_actions"", ""arguments"": ""{\""actions\"": [{\""action_id\"": \""a1\"", \""intent_name\"": \""check_balance\"", \""depends_on\"": [], \""entities\"": {}}]}""}}]",I have processed your request to check balance.,"[""Successfully processed check_balance.""]",qwen/qwen3.8-27b:free,schema_completion
BANKING77,BANKING77_005688,finance,finance/payments,I can't see a refund for a return I completed recently.,,User wants to query account balance or available funds. based on: 'I can't see a refund for a return I completed recently.'.,{},[],"[""Route check_balance via dispatch_actions.""]","[{""id"": ""call_4e784816"", ""type"": ""function"", ""function"": {""name"": ""dispatch_actions"", ""arguments"": ""{\""actions\"": [{\""action_id\"": \""a1\"", \""intent_name\"": \""check_balance\"", \""depends_on\"": [], \""entities\"": {}}]}""}}]",I have processed your request to check balance.,"[""Successfully processed check_balance.""]",qwen/qwen3.8-27b:free,schema_completion
BANKING77,BANKING77_005801,finance,finance/payments,"Three months ago I bought a new house for my cat, fluffy.  Unfortunately Fluffy was not a fan of the house and it had to be returned to Pet Smart last week.  They said they have sent a refund but it's not there, can you tell me where it is?",,"User wants to query account balance or available funds. based on: 'Three months ago I bought a new house for my cat, fluffy.  U'.",{},[],"[""Route check_balance via dispatch_actions.""]","[{""id"": ""call_d5c34ba3"", ""type"": ""function"", ""function"": {""name"": ""dispatch_actions"", ""arguments"": ""{\""actions\"": [{\""action_id\"": \""a1\"", \""intent_name\"": \""check_balance\"", \""depends_on\"": [], \""entities\"": {}}]}""}}]",I have processed your request to check balance.,"[""Successfully processed check_balance.""]",qwen/qwen3.8-27b:free,schema_completion
BANKING77,BANKING77_005727,finance,finance/payments,Why isn't my refund shown on my statement?,,User wants to query account balance or available funds. based on: 'Why isn't my refund shown on my statement?'.,{},[],"[""Route check_balance via dispatch_actions.""]","[{""id"": ""call_f388e4bb"", ""type"": ""function"", ""function"": {""name"": ""dispatch_actions"", ""arguments"": ""{\""actions\"": [{\""action_id\"": \""a1\"", \""intent_name\"": \""check_balance\"", \""depends_on\"": [], \""entities\"": {}}]}""}}]",I have processed your request to check balance.,"[""Successfully processed check_balance.""]",qwen/qwen3.8-27b:free,schema_completion
BANKING77,BANKING77_005717,finance,finance/payments,I was supposed to get a refund but it is not showing up on my card,,User wants to query account balance or available funds. based on: 'I was supposed to get a refund but it is not showing up on m'.,{},[],"[""Route check_balance via dispatch_actions.""]","[{""id"": ""call_a995d944"", ""type"": ""function"", ""function"": {""name"": ""dispatch_actions"", ""arguments"": ""{\""actions\"": [{\""action_id\"": \""a1\"", \""intent_name\"": \""check_balance\"", \""depends_on\"": [], \""entities\"": {}}]}""}}]",I have processed your request to check balance.,"[""Successfully processed check_balance.""]",qwen/qwen3.8-27b:free,schema_completion
BANKING77,BANKING77_005737,finance,finance/payments,I requested a refund from a merchant but don't see the money in my account.  Are you able to check with the merchant or process the refund manually?,,User wants to query account balance or available funds. based on: 'I requested a refund from a merchant but don't see the money'.,{},[],"[""Route check_balance via dispatch_actions.""]","[{""id"": ""call_b5743108"", ""type"": ""function"", ""function"": {""name"": ""dispatch_actions"", ""arguments"": ""{\""actions\"": [{\""action_id\"": \""a1\"", \""intent_name\"": \""check_balance\"", \""depends_on\"": [], \""entities\"": {}}]}""}}]",I have processed your request to check balance.,"[""Successfully processed check_balance.""]",qwen/qwen3.8-27b:free,schema_completion
BANKING77,BANKING77_005771,finance,finance/payments,Hi I'm waiting for a refund for an item I bought. I have contacted the merchant directly but had nothing back. Can you tell me whether or not you are able to refund me for the item?,,User wants to query account balance or available funds. based on: 'Hi I'm waiting for a refund for an item I bought. I have con'.,{},[],"[""Route check_balance via dispatch_actions.""]","[{""id"": ""call_9908ff2d"", ""type"": ""function"", ""function"": {""name"": ""dispatch_actions"", ""arguments"": ""{\""actions\"": [{\""action_id\"": \""a1\"", \""intent_name\"": \""check_balance\"", \""depends_on\"": [], \""entities\"": {}}]}""}}]",I have processed your request to check balance.,"[""Successfully processed check_balance.""]",qwen/qwen3.8-27b:free,schema_completion
BANKING77,BANKING77_005723,finance,finance/payments,Why hasn't my refund been appiled to my account?,,User wants to query account balance or available funds. based on: 'Why hasn't my refund been appiled to my account?'.,{},[],"[""Route check_balance via dispatch_actions.""]","[{""id"": ""call_2ceefdee"", ""type"": ""function"", ""function"": {""name"": ""dispatch_actions"", ""arguments"": ""{\""actions\"": [{\""action_id\"": \""a1\"", \""intent_name\"": \""check_balance\"", \""depends_on\"": [], \""entities\"": {}}]}""}}]",I have processed your request to check balance.,"[""Successfully processed check_balance.""]",qwen/qwen3.8-27b:free,schema_completion
BANKING77,BANKING77_005739,finance,finance/payments,The refund on my account hasn't shown up,,User wants to query account balance or available funds. based on: 'The refund on my account hasn't shown up'.,{},[],"[""Route check_balance via dispatch_actions.""]","[{""id"": ""call_15555913"", ""type"": ""function"", ""function"": {""name"": ""dispatch_actions"", ""arguments"": ""{\""actions\"": [{\""action_id\"": \""a1\"", \""intent_name\"": \""check_balance\"", \""depends_on\"": [], \""entities\"": {}}]}""}}]",I have processed your request to check balance.,"[""Successfully processed check_balance.""]",qwen/qwen3.8-27b:free,schema_completion
