raw_text,source
There is a direct debit transaction that I did not authorize,BANKING77
"I just bought an item and would like to stop payment, is this possible?  The item has not been received yet.",BANKING77
Can I possibly change my currency to another?,BANKING77
Please sort your top up! My top up has been pending for an hour already. Can you please make it go through as soon as possible. I really need the money.,BANKING77
What do I do if I can't get my card out of the ATM?,BANKING77
The ATM is messed up. It gave me less than I wanted.,BANKING77
are there any exchange fees,BANKING77
Why was my cash withdrawal cancelled at the ATM?,BANKING77
My card is almost expired.  How fast will I get a new one and what is the cost?,BANKING77
How long before I can see that my cash withdrawal has taken place?,BANKING77
Is my account able to be topped up by my friends?,BANKING77
Is a physical card also available,BANKING77
Where are the cards transported to?,BANKING77
I was declined when I tried to take out cash!,BANKING77
How do I replace a card that's going to expire?,BANKING77
"Hey I am standing in front of an ATM here, it only gave me 10 pounds even though I wanted to withdraw 30! Seems like the app has 30 pounds, what do I do??",BANKING77
Can you tell me why I haven't received my new card yet?,BANKING77
Is the verification number on the top up card,BANKING77
I wanted to withdraw $100 from the ATM but I only got $20,BANKING77
i have yet to get my pin,BANKING77
Your service is bad.  Close my account.,BANKING77
There is a cash withdrawl I don't remember.,BANKING77
What ATMs can I use this card at?,BANKING77
I didn't get a PIN yet. What gives?,BANKING77
I cannot find my refund on my statement.,BANKING77
I made the incorrect payment for my rent yesterday and this needs to be fixed by no later than tomorrow. How can you help?,BANKING77
When will my transfer move from pending to confirmed?,BANKING77
why do I have an unknown payment?,BANKING77
"I know there's money in my account, why did my account decline me?",BANKING77
I have kids and I'm curious at what age could they start to use your service.,BANKING77
"Looks like my card payment was duplicated after all. I went to pay at the store earlier, got declined once,second time it works. App still stays pending for one of the payments. Can you please remove one of them as it's wrong and was declined?",BANKING77
I punched in the wrong pin too many times and I'm locked out.,BANKING77
Why was I charged a fee for withdrawing money?,BANKING77
Can you send me a new card and block my current one. I'm in Spain and my wallet was stolen.,BANKING77
"My phone got stolen, how can I use the app?",BANKING77
What are the steps for the identity checks?,BANKING77
"I was charged twice for a restaurant, can you take the second charge off?",BANKING77
When can I expect the transfer to arrive in my account?,BANKING77
Why hasn't the transaction I did to my friend arrived yet?,BANKING77
Is it possible for me to track the card is was mailed to me?,BANKING77
My passcode was denied.,BANKING77
I attempted to get cash in the ATM but it was not authorized,BANKING77
Can I have a card even if I am not living in the UK?,BANKING77
My account is showing a double charge.,BANKING77
I made a check deposit but the cash hasn't arrived in my account yet.,BANKING77
I received a returned payment that I made.,BANKING77
I was not able to receive the correct amount of cash.,BANKING77
What is the fee for a foreign currency exchange?,BANKING77
I don't know where a direct debit payment came from,BANKING77
There is an extra small charge on my card! What do I do?,BANKING77
What businesses can I use this card with?,BANKING77
Why has my top up been returned?,BANKING77
Are there any places that won't take my card?,BANKING77
How do I use a cheque to top up?,BANKING77
Is it simple to transfer money using my credit card?,BANKING77
I need to cancel my recent transfer as soon as possible. I made an error there. Please help before it goes through.,BANKING77
How much is a physical card?,BANKING77
My salary is deposited in GBP. Do I need to choose the currency?,BANKING77
The cast deposit from a week ago still is not in my account. Why?,BANKING77
Will you be able to exchange to EUR?,BANKING77
Are there fees for adding money with an International card?,BANKING77
I think somebody made an unauthorized copy of my card.  My account has a cash withdrawal for 500£ that I did not make.  Please help.,BANKING77
How do I add cash to my account?,BANKING77
I'm interested in getting a virtual card.  How do I get one?,BANKING77
Can I set it up to add money every few days automatically while I am traveling?,BANKING77
I have transfered to my account before but it is being declined now?,BANKING77
Will the card be a Mastercard or a Visa?,BANKING77
what is the fee for topping up by card?,BANKING77
I received duplicate charges.,BANKING77
This is the first time I've tried to get my money out of an ATM and it didn't work. Please give me my money,BANKING77
"It seems like I have been waiting forever for this international transfer. Why is it taking so long? C'mon, it's 2018, things happen at a click of a button. All of the account information is correct, so how long will this take?",BANKING77
In my account I noticed my ATM withdrawal is still pending,BANKING77
There is unusual activity on my account and I believe someone took my card.,BANKING77
would a visa or mastercard be more suited to me?,BANKING77
How do I receive a disposable virtual card?,BANKING77
The bank charged me fees for withdrawing cash!,BANKING77
I don't think the exchange rate was right.,BANKING77
Is it possible for a transaction to be cancelled?,BANKING77
I am unsuccessfully trying to make a transfer can you help?,BANKING77
How do I make my PIN work again?,BANKING77
What are the age requirements for service?,BANKING77
I didn't make this payment and it's on my app,BANKING77
A transfer was not allowed to an account.,BANKING77
Do I have to go to an actual bank to change my PIN?,BANKING77
How much would I be charged for a transfer?,BANKING77
How do I query a payment on my card? It looks like I have paid for the same thing twice.,BANKING77
When do you charge fees on accounts? I just saw a charge on my statement.,BANKING77
what are your exchange rates at?,BANKING77
At what ATM can I change my PIN?,BANKING77
What is the fee for topping up a US card?,BANKING77
Why is my transfer pending?,BANKING77
What's the limit on total number of cards I can have?,BANKING77
I tried to use my disposable virtual card to pay a subscription to the gym and it got rejected. Any ideas why?,BANKING77
Tell me why my card payment would be reverted.,BANKING77
What do I do to verify my source of funds?,BANKING77
My card arrived but I don't know how to get my PIN.,BANKING77
The cheque I deposited isn't showing in my account,BANKING77
Why won't you accept my payment? I keep trying with this card and it's not working.,BANKING77
is there a frequent currency discount?,BANKING77
"I need to delete my account, please.",BANKING77
I want a backup second card. Is this possible?,BANKING77
"Using Google Pay, can I top up?",BANKING77
How many active transactions can I make with a disposable card?,BANKING77
"If there isn't a lot of money left, will it automatically top-up money?",BANKING77
What is the status of my top up?,BANKING77
It looks like a payment I've made hasn't made it through yet.,BANKING77
Is it possible to do auto top up?,BANKING77
I have lost my card! What is my next step?,BANKING77
Can you give me a virtual card?,BANKING77
I didn't cancel my card payment.,BANKING77
A fee came along with me paying with card,BANKING77
i asked for 100 only got 80,BANKING77
"Transfers can take up to one day to process before departing for the beneficiary accounts. Please confirm that you've entered your account details correctly. SEPA transfers can take up to two working days, while SWIFT transfers can take up to five working days.",BANKING77
How do I close my account?,BANKING77
How do I complete the ID check?,BANKING77
How can I receive my salary in another currency?,BANKING77
I got a new address and need to change my old one.,BANKING77
I purchased something about one to two weeks ago but for some reason the payment was returned to my account today even though I've already received one of the items. Can you tell me what's going on?,BANKING77
Can I use your app to exchange between USD and GBP,BANKING77
Purchases I did not make are appearing in my bank statement?,BANKING77
I do not recognize the card payment.,BANKING77
Can I change my PIN at any ATM?,BANKING77
Why is there a random payment in my statement?,BANKING77
Is it possible someone has access to my card? I noticed that there are a couple of payments in the app I'm sure I did not make. Can you find out what's going on here?,BANKING77
"Hey there, I just went through my most recent credit card payments and I notice the same charge for a restaurant was processed twice. There was only one meal at this place, so I would like one of the charges to be reversed and my money to be put back in the account.",BANKING77
Where can I find the top up verification code?,BANKING77
I just checked my account on the App and there is a payment on there that I did not make.,BANKING77
"Do you hold money and if so, what currencies do you accept?",BANKING77
Can I use this app to exchange currencies?,BANKING77
"If I bought something I didn't like, can I get a refund?",BANKING77
"I transferred money to another country several days ago, but my transaction is still pending. i have checked that the accounts are keyed in correctly. what sees to be the problem?",BANKING77
What are ways to test why my card might not be working?,BANKING77
What countries can I use the card in?,BANKING77
Can cash be used in physical locations to top up?,BANKING77
It's been a week since I ordered my card and it's not here. Please help?,BANKING77
Can you tell me why my card payment did not work?,BANKING77
how much for topping up by card?,BANKING77
How can I exchange to EUR?,BANKING77
You operate in which countries?,BANKING77
"I tried to withdraw cash and got declined, why is that?",BANKING77
I tried to transfer funds to a beneficiary and was denied. Can you tell me why?,BANKING77
Where can I find a Mastercard ATM?,BANKING77
Do I get Visa or Mastercard?,BANKING77
"I attempted to complete a topup, and I thought all was well, but now the money is gone again. Has there been a glitch?",BANKING77
How do you find the exchange rate?,BANKING77
If I can't choose my card type will I be able to use it everywhere?,BANKING77
there is a transfer pending.,BANKING77
Can I get some help activating my new card?,BANKING77
My PIN tries have run out. Now what?,BANKING77
I haven't received the cash from the check I deposited.,BANKING77
"I want to top up my account by a bank transfer, but will I be charged?",BANKING77
How do I get my card into the app?,BANKING77
What should I do once my card expires?,BANKING77
I really need some help to understand why my transfer keeps failing. I'm trying to send money to a friend. Please help.,BANKING77
My app says that I'm not verified.,BANKING77
Why was the price higher when I paid with my card?,BANKING77
During the last month I used this account to make payments for my place abroad. I noticed the fees have increased and I wonder why. Shouldn't frequent users have less fees as incentive to keep using instead of increasing them out of nowhere?,BANKING77
Where can I see where my funds came from?,BANKING77
Why didn't I receive the right amount of cash at the ATM?,BANKING77
"I want to top up by using a credit card, which ones do you support?",BANKING77
Can I add to my account using a cheque?,BANKING77
I was checking my statement and I think one of my card payments has reverted,BANKING77
Why is the exchange rate different from what I expected?,BANKING77
beneficiary transfer problems?,BANKING77
Whats the maximum disposable virtual cards?,BANKING77
what is the exchange rate when i get cash,BANKING77
What am i missing to verify my id?,BANKING77
Is the exchange rate the same on weekends as the weekdays?,BANKING77
I have been charged twice for the same thing!,BANKING77
Can this app exchange American and English currency?,BANKING77
is apple pay a top up service?,BANKING77
Can I use it outside of Europe?,BANKING77
Let me know when you charge extra for payments please. I just checked the app earlier when I saw that there was an additional fee on one of the payments that I wasn't warned about before.,BANKING77
How can I reset the passcode if I need to do that?,BANKING77
How do I go about cancelling a transaction?,BANKING77
I see a strange payment in my account.,BANKING77
There is the same transaction showing more than once.,BANKING77
I'm still waiting on my identity verification.,BANKING77
I am seeing inside the App a some cash withdrawal that is not mine,BANKING77
There is a pending payment on my account that is very strange. I don't remember making this and it won't go away. Can you help me figure this out?,BANKING77
I would like to top up my account automatically. How do I do that?,BANKING77
i have been trying to top up my account with a check but it won't work,BANKING77
I am having trouble activating my card.,BANKING77
how do I speed up identity verification?,BANKING77
How long do I need to wait to see an update after I make a bank transfer?,BANKING77
"I  have been charged more than I should for the presents I bought  when abroad, the problem seems to be the exchange rate.",BANKING77
Is the fee with my cash withdrawal a mistake?,BANKING77
Can this app take my salary?,BANKING77
Why isn't my id verifying?,BANKING77
I placed a cash deposit in my account but I can't see it yet.,BANKING77
"I have not received my card and it's been a week, what do I do?",BANKING77
Please tell me how you can stop unauthorized payments from being made on my card since on this bill I see that this has happened. There are transactions that I never made from a place I've never been to.,BANKING77
"I am not supposed to be charged a cash withdrawal fee, but I was.",BANKING77
What are you exchange rates?,BANKING77
My card hasn't shown up yet.,BANKING77
Where is the transfer that I did?,BANKING77
I don't recognize the direct debit payment from the app.,BANKING77
I need to know what is going on. I'm attempting to purchase a flat and need the money to pay on my initial mortgage payment. I'm only getting an error. Can you find out what's going on and help in making the transfer?,BANKING77
"How long do transfers take, mine just says pending?",BANKING77
Why are my withdrawals suddenly being declined?,BANKING77
"The past few times I've been to the ATM, I was charged a withdrawal fee. Have your policies changed regarding fees?",BANKING77
why top up is not working even if I got my American Express in Apple Bay?,BANKING77
The ATM didn't give me what I asked for but my balance says it did,BANKING77
What's the reason for needing to verify my identity?,BANKING77
It seems that the rate I got is incorrect.,BANKING77
"After reviewing my charges, I see I was charged a fee for a transfer I did, why?",BANKING77
How can I find your exchange rates?,BANKING77
Can this card be used at all ATMs?,BANKING77
how can i get it to add money automatically while travelling,BANKING77
I left my phone somewhere and can't use the app.,BANKING77
I have a disposable card but it does not work?,BANKING77
I had a payment reverted and would like to figure out why.,BANKING77
Can I use as many top-ups as I want?,BANKING77
Why was my ATM withdrawal cancelled?,BANKING77
I'm in China and need a new card. Please help.,BANKING77
What should I do if my physical card isn't working?,BANKING77
Can I track my card while it is in the process of delivery?,BANKING77
"My card was used without my permission, what do I do?",BANKING77
"I have made 5 attempts to make a very standard survey, yet I can't get it to work. What is the problem? Is there an issue related to your system?",BANKING77
"I have received my statement but I do not see my refund, why is that?",BANKING77
Why are my transfers getting declined?,BANKING77
I have a transfer that is pending.,BANKING77
"I looked at my statement, and there is a charge for 1£ that I don't recognize.  Why is it on there?",BANKING77
"My new card isn't in my app, how do I get it in there?",BANKING77
What are the guidelines for the disposable cards?,BANKING77
"There seems to be an additional charge of £1 on my statement, what is the reason for this?",BANKING77
I didn't set up a direct debit payment on my account.,BANKING77
I've been charged an extra £1 and I don't know why,BANKING77
Are top-ups allowed using Apple Pay?,BANKING77
Can I pay with my card anywhere?,BANKING77
I just looked over my statement and I don't recognize the name of a card payment.,BANKING77
How much do I have to pay if I want to transfer money?,BANKING77
Where can I find an ATM?,BANKING77
"After I got my cash, I found out my exchange rate was wrong.",BANKING77
How can I change my old pin to a new one?,BANKING77
May I get an account for my daughter?,BANKING77
I sent a transfer to a friend that needs it urgently. It has already been 2 hours and still hasn't come through to her. How long does it normally take?,BANKING77
Can you tell me more info about virtual disposable cards?,BANKING77
Can you please advise if there is something wrong with my card? I have had multiple rejections and do not know the reason. Thanks!,BANKING77
There is a direct debit fee in the App that I didn't do.,BANKING77
I checked on google and the exchange rate you are using is really bad. Can you update it?,BANKING77
I bought something that I need a refund for.,BANKING77
I would like to alter my personal details.,BANKING77
I was expecting my new card by now.,BANKING77
I have duplicated transactions on my statement,BANKING77
My card is about to expire.  How do I order another?,BANKING77
I just received my card and I'd like to activate it.,BANKING77
How long will my payment be pending?,BANKING77
I tried to do a transfer and it hasn't worked!,BANKING77
Seems like my top-up has failed,BANKING77
Where did my money come from?,BANKING77
I made a cash withdrawal at an ATM but it still says pending in my account.,BANKING77
Will my other US credit card be accepted?,BANKING77
I am still waiting for a money transfer to process.,BANKING77
How much is the charge for a foreign currency exchange?,BANKING77
I have no idea why but my transfers keep getting declined. I have double checked all the recipient details several times already and they're definitely correct.,BANKING77
The card PIN?,BANKING77
I bought an item that I was charged a different exchange rate for.,BANKING77
Can i get money in my home currency at my ATM ?I am on holiday and bit concerned because i do not have any cash with me .Is it possible to withdraw without any additional cost.,BANKING77
Where can I find the verification code for a top-up?,BANKING77
I would like to exchange currency  What types are there?,BANKING77
"I've just made a money transfer to the wrong account, I need to stop the money from being moved as it may be going to someone I don't know.  Please can you help?",BANKING77
I paid with my card and was charged extra,BANKING77
Why is your exchange rate different on different days?,BANKING77
